500
50.012713504s 392.640853ms
50.03237163s 376.805962ms
50.046263467s 382.022561ms
49.968455603s 376.18156ms

30000
50.821048933s 373.979309ms
50.712031022s 389.394296ms
50.832575714s 375.763038ms
50.768743918s 376.859299ms
50.798615857s 376.559683ms
50.828153998s 374.357123ms
50.745401612s 386.587842ms
50.779035861s 382.314192ms
50.731107427s 373.845977ms
50.84153272s 376.885254ms
50.849035819s 383.403729ms

30500
51.607962419s 382.131608ms
51.62828695s 379.256918ms
51.596870996s 382.333381ms
51.696604334s 379.238482ms
51.685929007s 380.17925ms
51.647784919s 382.568673ms
51.708233626s 381.919335ms
51.647016013s 377.294388ms
51.616650204s 385.065369ms
51.593859865s 378.476881ms
52.052103987s 380.566245ms

31000
52.625758142s 379.912178ms
52.537555819s 376.562432ms
52.415487284s 377.198155ms
52.40196582s 379.232089ms
52.477092539s 390.435511ms
52.516061256s 383.065981ms
52.503246858s 379.974599ms
52.437083659s 374.869161ms
52.429993552s 385.277818ms
52.448091612s 379.02574ms
52.49390868s 375.31602ms

31500
53.364927437s 383.079563ms
53.240951086s 376.847397ms
53.303626964s 376.507827ms
53.235271237s 380.901257ms
53.5177687s 378.64457ms
53.301759174s 377.654441ms
53.266625126s 380.993847ms
53.237936378s 378.845268ms
53.254565122s 376.515953ms
53.264967965s 377.875447ms
53.316556076s 376.53566ms

32000
54.215868564s 380.830824ms
54.077355481s 382.395299ms
54.257874293s 378.66427ms
54.133370925s 384.077952ms
54.174113521s 387.224385ms
54.305802167s 382.273629ms
54.20247271s 382.506652ms
54.15813685s 382.97786ms
54.108586852s 382.273538ms
54.182838895s 380.163245ms
54.204182883s 387.167253ms

32500
55.113838953s 386.422066ms
54.940681819s 387.122316ms
54.963973414s 384.956285ms
54.978666136s 382.945635ms
55.07700824s 385.310941ms
54.987257562s 383.173296ms
55.061396746s 388.89739ms
54.993288986s 383.784609ms
55.05569329s 388.783022ms
55.055770374s 384.920543ms
55.012675042s 386.800299ms

33000
56.011800717s 389.332313ms
55.817489502s 387.098655ms
55.717283161s 388.12652ms
55.875733248s 392.127212ms
55.886827304s 384.953404ms
55.856595932s 388.609156ms
55.817477874s 392.540739ms
55.795436766s 387.63672ms
55.862892447s 387.462979ms
55.849275883s 386.62328ms
55.983063981s 387.496385ms

33500
56.714236214s 390.85843ms
56.633076001s 393.439376ms
56.641549074s 392.782775ms
56.613380035s 395.781243ms
57.085646123s 398.123598ms
56.705227207s 400.281556ms
56.791390201s 394.211811ms
56.671024535s 393.583622ms
56.631825919s 391.729257ms
56.702509149s 395.168682ms
56.723220618s 395.340167ms

34000
57.41145605s 381.886366ms
57.445046547s 384.219393ms
57.46057303s 398.680871ms
57.463161045s 386.772242ms
57.49084908s 382.070898ms
57.537183643s 385.911967ms
57.46511167s 383.956312ms
57.468784758s 384.197137ms
57.44339s 382.593025ms
57.55926575s 384.040504ms
57.626546612s 385.503201ms

34500
58.338336311s 382.801774ms
58.354423623s 382.725302ms
58.329569251s 380.615129ms
58.359743617s 398.866196ms
58.321169216s 378.567584ms
58.44061229s 380.674989ms
58.389629377s 382.305776ms
58.350611045s 384.553701ms
58.310121108s 379.636488ms
58.339522933s 381.210377ms
58.437705568s 379.221632ms

35000
59.276791645s 385.390694ms
59.140750492s 380.416332ms
59.266306578s 383.557943ms
59.214242807s 387.876796ms
59.172887982s 384.701267ms
59.151329548s 380.304221ms
59.166731781s 385.277937ms
59.338138865s 380.922872ms
59.260998872s 384.802994ms
59.131171305s 381.011347ms
59.127984561s 381.132849ms

35500
1m0.034994306s 384.846038ms
1m0.183378241s 386.31648ms
